incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Old Water Fire,True,2019-11-01T14:17:15Z,2019-10-24T04:53:17Z,San Bernardino County Fire,,San Bernardino,"near Old Waterman Canyon Road and Hwy 18. ",145,100,,"San Bernardino National Forest, San Bernardino County Fire",-117.274276,34.183624,Wildfire,956f8cd5-f4fb-43d7-8a34-1bb5db551995,https://www.fire.ca.gov/incidents/2019/10/24/old-water-fire/,,,2019-10-24,N,False,False
Muir Fire,True,2019-11-21T12:21:41Z,2019-10-24T12:15:33Z,Marin County Fire,,Marin,"Highway 1 and Panoramic Hwy, Stinson Beach",67,100,,Marin County Fire,-122.636471,37.896231,Wildfire,16b1921b-f753-4a36-85bc-d903555f0af4,https://www.fire.ca.gov/incidents/2019/10/24/muir-fire/,,,2019-10-24,N,True,False
"Nelson Fire ",True,2019-10-25T07:49:16Z,2019-10-24T14:43:10Z,"CALFIRE/Butte County Fire ",,Butte,Between Durham and Richvale,80,100,,"CALFIRE/Butte County Fire ",-121.800538,39.551423,Wildfire,6890469e-78d7-4dac-b162-6c23498fabcc,https://www.fire.ca.gov/incidents/2019/10/24/nelson-fire/,2019-10-24T17:15:00Z,2019-10-24,2019-10-24,N,True,False
Tick Fire,True,2019-10-31T07:39:12Z,2019-10-24T14:51:46Z,"Los Angeles County Fire Department ",,Los Angeles,"Tick Canyon Rd and Summit Knoll Rd, Canyon Country",4615,100,,"Los Angeles County Fire Department ",-118.368056,34.472778,Wildfire,020310d3-7834-4f57-a125-eff0eb3f54e5,https://www.fire.ca.gov/incidents/2019/10/24/tick-fire/,,,2019-10-24,N,False,False
Cabrillo Fire,True,2019-10-27T12:11:20Z,2019-10-24T20:15:36Z,CAL FIRE San Mateo- Santa Cruz Unit,,San Mateo,"Highway 1 and Gazos Creek Rd, south of Pescadero",62,100,,CAL FIRE San Mateo- Santa Cruz Unit,-122.361112,37.166674,Wildfire,ab8109fd-e8eb-4690-9f5c-3a8c9c47ff48,https://www.fire.ca.gov/incidents/2019/10/24/cabrillo-fire/,2019-10-27T12:11:00Z,2019-10-27,2019-10-24,N,True,False
Mines Fire,True,2019-10-27T14:00:06Z,2019-10-24T23:16:18Z,CAL FIRE Santa Clara Unit,,Alameda,"Mines Rd and Del Valle Rd, southeast of Livermore",35,100,,CAL FIRE Santa Clara Unit,-121.68598,37.62782,Wildfire,87404846-bc30-41b8-82fe-31c9aedb9ef7,https://www.fire.ca.gov/incidents/2019/10/24/mines-fire/,2019-10-27T13:55:00Z,2019-10-27,2019-10-24,N,True,False
"Sawday Fire ",True,2019-10-29T19:04:38Z,2019-10-25T10:52:04Z,"CALFIRE San Diego ",,San Diego,"Sawday Truck Trail and Little Page Rd, Community of Witch Creek ",97,100,,,-116.742508,33.055124,Wildfire,a6701bb9-7086-4dbc-ac5f-8c98eeb0279a,https://www.fire.ca.gov/incidents/2019/10/25/sawday-fire/,2019-10-28T19:31:00Z,2019-10-28,2019-10-25,N,True,False
Miller Fire,True,2019-10-27T18:29:19Z,2019-10-25T15:05:52Z,CAL FIRE San Diego County Fire,,San Diego,"Miller Lane and Cole Grade Lane, North of Valley Center ",37,100,,,-117.027333,33.259861,Wildfire,7ff229e4-be94-4319-8916-19eb43753843,https://www.fire.ca.gov/incidents/2019/10/25/miller-fire/,2019-10-27T18:05:00Z,2019-10-27,2019-10-25,N,True,False
Rawson Fire,True,2019-10-28T07:25:39Z,2019-10-27T02:47:20Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Gyle Road and Long Dirt Road, Northwest of Corning",605,100,,,-122.25421,40.00171,Wildfire,828b2492-fc44-4fc0-97fa-f0b439e6fa0d,https://www.fire.ca.gov/incidents/2019/10/27/rawson-fire/,2019-10-28T07:22:00Z,2019-10-28,2019-10-27,N,True,False
Cypress Complex,True,2019-10-28T16:26:20Z,2019-10-27T08:50:23Z," East Contra Costa County Fire Protection District",,Contra Costa,"East Cypress Rd and Bethel Island Road, Knightsen, CA  ",200,100,,,-121.64118,37.99136,Wildfire,d299dec7-b09f-47f7-80c9-859ddd1ecef3,https://www.fire.ca.gov/incidents/2019/10/27/cypress-complex/,2019-10-28T16:26:00Z,2019-10-28,2019-10-27,N,False,False
