incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Center Fire,True,2015-09-10T07:49:00Z,2015-09-09T14:12:00Z,CAL FIRE Lassen - Modoc Unit,,Lassen,"Center Rd, east of Susanville",40,100,,CAL FIRE Lassen - Modoc Unit,-120.553075,40.400196,,75c14933-9916-4dfe-ac66-7d98706a5172,https://www.fire.ca.gov/incidents/2015/9/9/center-fire/,2015-09-10T07:49:00Z,2015-09-10,2015-09-09,N,True,False
Creek Fire,True,2015-09-11T19:17:00Z,2015-09-09T14:30:00Z,CAL FIRE Fresno Kings Unit,,Fresno,Squaw Valley Road and Sand Creek Road,170,100,,CAL FIRE Fresno Kings Unit,-120.553075,40.400196,,9a3df964-7794-411c-9043-967476fe77e6,https://www.fire.ca.gov/incidents/2015/9/9/creek-fire/,2015-09-11T19:17:00Z,2015-09-11,2015-09-09,N,True,False
Butte Fire,True,2015-10-15T19:45:00Z,2015-09-09T14:26:00Z,CAL FIRE Amador - El Dorado Unit,,,east of Jackson,70868,100,None,"CAL FIRE Amador - El Dorado Unit, Amador County Sheriff, Calaveras County Sheriff, CAL OES, BLM, PG&E, CHP, Amador Fire Protection District, Calaveras PUD, CDCR, Sutter Creek Fire Department, CALTRANS, State Parks, California Conservation Corp.",-120.70418,38.32974,,13466833-32d1-418b-b145-f7ce1f7bf66e,https://www.fire.ca.gov/incidents/2015/9/9/butte-fire/,2015-10-15T19:45:00Z,2015-10-15,2015-09-09,N,True,False
Lumpkin Fire,True,2015-09-17T19:30:00Z,2015-09-11T14:15:00Z,CAL FIRE Butte Unit,,Butte,"off Lumpkin Road and Forbestown Road, Robinson Mill",1042,100,,"CAL FIRE Butte Unit, Butte County Sheriff’s Office, California State Parks, California Highway Patrol, United States Forest Service, California Office of Emergency Services, California Department of Corrections and Rehabilitation, California Conservation Corps, Pacific Gas and Electric, Butte Emergency Medical Services, Butte County Public Works and American Red Cross.",-121.3363,39.5218,,f7067bff-efb4-4ca6-a627-6145836857ec,https://www.fire.ca.gov/incidents/2015/9/11/lumpkin-fire/,2015-09-17T19:30:00Z,2015-09-17,2015-09-11,N,True,False
Walker Fire,True,2015-09-13T10:15:00Z,2015-09-11T15:08:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,Windwalker Ln & Small Farms Dr in Igo,109,100,,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Happy Valley Fire Protection District, Shasta Fire Department, Redding Fire Department, Millville Fire Protection District, Anderson Fire Protection District, Mountain Gate Fire Department",-122.52541,40.47512,,dbd39ec2-546c-4afc-9ff2-b1939eead03e,https://www.fire.ca.gov/incidents/2015/9/11/walker-fire/,2015-09-13T10:15:00Z,2015-09-13,2015-09-11,N,True,False
Munjar Fire,True,2015-10-02T17:50:00Z,2015-10-02T14:38:00Z,"CAL FIRE Butte Unit ",,Butte,"Munjar Rd, 10 miles north of Chico",104,100,,"CAL FIRE Butte Unit ",-121.8938,39.8707,,897d01d8-dd38-43e2-bcd6-fa62aac03318,https://www.fire.ca.gov/incidents/2015/10/2/munjar-fire/,2015-10-02T17:50:00Z,2015-10-02,2015-10-02,N,True,False
"Rough Fire ",True,2015-11-09T12:00:00Z,2015-07-31T19:00:00Z,"Sierra National Forest ",,Fresno,5 miles North of Hume Lake and 2.5 miles to the southwest of Spanish Mountain 5,151623,100,,"Sierra National Forest ",-118.905,36.874,,8c788c0a-d1fc-46d7-a17c-23f786831f7d,https://www.fire.ca.gov/incidents/2015/7/31/rough-fire/,2015-11-09T12:00:00Z,2015-11-09,2015-07-31,N,False,False
Taglio Fire,True,2016-04-24T15:30:00Z,2016-04-24T11:10:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Merced,"I-5 & Taglio Road, east of Gustine",30,100,,CAL FIRE Madera-Mariposa-Merced Unit,-121.08036,37.2171,,7106ba43-100b-41f9-acbf-9fb9e9ab9ef7,https://www.fire.ca.gov/incidents/2016/4/24/taglio-fire/,2016-04-24T15:30:00Z,2016-04-24,2016-04-24,N,True,False
Solimar Fire,True,2015-12-29T10:00:00Z,2015-12-25T22:42:00Z,Ventura County Fire Department,,,"6 Miles NW of Ventura - North of Highway 101, West of Hwy 33,  in the SRA",1388,100,,Ventura County Fire Department,-119.34512,34.31953,,c6f0705e-8bec-4a00-92a7-dc47245de7fa,https://www.fire.ca.gov/incidents/2015/12/25/solimar-fire/,2015-12-29T10:00:00Z,2015-12-29,2015-12-25,N,False,False
Potrero Fire,True,2015-11-07T16:45:00Z,2015-11-07T01:45:00Z,Ventura County Fire Department,,Ventura,"Hidden Valley area, southwest of Thousand Oaks",50,100,,Ventura County Fire Department,-118.879444,34.15,,3f31752f-4f51-4705-9fe4-50beec88a0e8,https://www.fire.ca.gov/incidents/2015/11/7/potrero-fire/,2015-11-07T16:45:00Z,2015-11-07,2015-11-07,N,False,False
Cienega Fire,True,2015-10-16T18:00:00Z,2015-10-12T16:00:00Z,CAL FIRE San Benito - Monterey Unit,,San Benito,"Cienega Rd & Limekiln Rd, south of Hollister",670,100,,CAL FIRE San Benito - Monterey Unit,-121.32734,36.70854,,8e71e23c-6161-480e-b8ca-f03147475e4d,https://www.fire.ca.gov/incidents/2015/10/12/cienega-fire/,2015-10-16T18:00:00Z,2015-10-16,2015-10-12,N,True,False
Gibraltar Fire,True,2015-11-09T12:00:00Z,2015-10-29T05:30:00Z,Los Padres National Forest,,Santa Barbara,between Montecito Peak and Coldspring Saddle,21,100,,Los Padres National Forest,-119.63216,34.4828,,fbd3c0a8-7191-473c-bb05-43616711b6c5,https://www.fire.ca.gov/incidents/2015/10/29/gibraltar-fire/,2015-11-09T12:00:00Z,2015-11-09,2015-10-29,N,False,False
McCourtney Fire,True,2015-09-21T14:36:00Z,2015-09-22T07:00:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Nevada,"off McCourtney Rd & Perimeter Rd, east of Camp Far West Reservoir ",30,100,,CAL FIRE Nevada-Yuba-Placer Unit,-121.194,39.081,,c27d03c6-361e-44b3-8335-a1fe06f88fd7,https://www.fire.ca.gov/incidents/2015/9/22/mccourtney-fire/,2015-09-21T14:36:00Z,2015-09-21,2015-09-22,N,True,False
Tassajara Fire,True,2015-09-27T18:15:00Z,2015-09-19T15:00:00Z,CAL FIRE San Benito-Monterey Unit,,Monterey,Tassajara Rd at Carmel Valley Rd,1086,100,,"CAL FIRE San Benito-Monterey Unit, Monterey County Sheriff, USFS Los Padres, CHP, Red Cross, Monterey County Regional FPD, CAL Trans, Cachaqua FPD, OES, SPCA of Monterey County, Monterey County EOC, PG&E, Monterey County Public Works, California Department of Corrections and Rehabilitation.",-121.589554,36.3699644,,1f54817c-8832-4a47-8ede-ab8072f52677,https://www.fire.ca.gov/incidents/2015/9/19/tassajara-fire/,2015-09-27T18:15:00Z,2015-09-27,2015-09-19,N,True,False
Laureles Fire,True,2015-09-21T18:20:00Z,2015-09-19T15:25:00Z,CAL FIRE San Benito-Monterey Unit,,Monterey,"off Laureles Grade and Highway 68 ",95,100,,CAL FIRE San Benito-Monterey Unit,-121.7556029,36.5696373,,9569dcd6-c94f-4849-a90a-db58bfc77bee,https://www.fire.ca.gov/incidents/2015/9/19/laureles-fire/,2015-09-21T18:20:00Z,2015-09-21,2015-09-19,N,True,False
Gorman Fire,True,2016-04-19T15:30:00Z,2016-04-19T13:09:00Z,Los Angeles County Fire,,Los Angeles,off northbound Interstate 5 at Gorman Creek,0,100,,Los Angeles County Fire,-118.7892593,34.6888731,,2c77fa07-73e6-45fe-a527-5bd526bdef41,https://www.fire.ca.gov/incidents/2016/4/19/gorman-fire/,2016-04-19T15:30:00Z,2016-04-19,2016-04-19,N,False,False
Tulloch Fire,True,2016-06-01T19:45:00Z,2016-05-30T15:10:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,"off New Peoria Flat Road and Old Melones Road, west of Sonora",85,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.528836,37.927613,,ffec404e-dea9-4175-8c50-8f2b0ca3efdd,https://www.fire.ca.gov/incidents/2016/5/30/tulloch-fire/,2016-06-01T19:45:00Z,2016-06-01,2016-05-30,N,True,False
Metz Fire,True,2016-05-25T18:15:00Z,2016-05-22T15:27:00Z,CAL FIRE San Benito-Monterey Unit,,Monterey,"Metz Rd & Blue Jay Ln, southeast of Soledad",3876,100,,CAL FIRE San Benito-Monterey Unit,-121.20059,36.38123,,55fa95e6-f09e-42c4-889b-a4b5b63dccf2,https://www.fire.ca.gov/incidents/2016/5/22/metz-fire/,2016-05-25T18:15:00Z,2016-05-25,2016-05-22,N,True,False
Wheatland Fire,True,2016-05-25T18:45:00Z,2016-05-23T14:15:00Z,LA County Fire Department/Angeles National Forest,,Los Angeles,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",156,100,,LA County Fire Department/Angeles National Forest,-118.354,34.276,,ace1f464-7a70-4dcc-b8c5-d64fb1021d0e,https://www.fire.ca.gov/incidents/2016/5/23/wheatland-fire/,2016-05-25T18:45:00Z,2016-05-25,2016-05-23,N,False,False
DeWolf Fire,True,2016-05-25T08:00:00Z,2016-05-25T01:03:00Z,CAL FIRE Fresno-Kings Unit,,Fresno,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",278,100,,CAL FIRE Fresno-Kings Unit,-119.654,36.88286,,09ab0430-7679-494c-96d4-d7d938351cf4,https://www.fire.ca.gov/incidents/2016/5/25/dewolf-fire/,2016-05-25T08:00:00Z,2016-05-25,2016-05-25,N,True,False
Coe Fire,True,2016-06-09T17:10:00Z,2016-06-07T16:30:00Z,CAL FIRE Santa Clara Unit,,Stanislaus,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",120,100,,CAL FIRE Santa Clara Unit,-121.42238,37.17072,,648cfdd4-f3f5-4faf-8ab1-a6f2cb5d9a6c,https://www.fire.ca.gov/incidents/2016/6/7/coe-fire/,2016-06-09T17:10:00Z,2016-06-09,2016-06-07,N,True,False
Dunstone Fire,True,2016-05-27T17:00:00Z,2016-05-27T13:43:00Z,CAL FIRE Butte Unit,,Butte,"La Porte Road at Dunstone Road, west of Bangor ",91,100,,CAL FIRE Butte Unit,-121.78973,39.33035,,5080eb51-53e5-4338-95ec-618efe2bd7d1,https://www.fire.ca.gov/incidents/2016/5/27/dunstone-fire/,2016-05-27T17:00:00Z,2016-05-27,2016-05-27,N,True,False
70 Fire,True,2016-05-29T19:53:00Z,2016-05-29T16:51:00Z,CAL FIRE Butte Unit,,Butte,Hwy 70 between Clark Rd and Wheelock Rd,30,100,Hwy 70 between Clark Rd and Wheelock Rd,"CAL FIRE Butte Unit, CHP, STATE PARKS, BUTTE VALLEY VOLUNTEERS, NORTH METRO VOLUNTEERS, GOLDEN FEATHER VOLUNTEERS.",-121.595093,39.624017,,6227f4ad-3e40-4f3b-b210-3e55483e1e84,https://www.fire.ca.gov/incidents/2016/5/29/70-fire/,2016-05-29T19:53:00Z,2016-05-29,2016-05-29,N,True,False
Shedd Fire,True,2016-05-10T18:45:00Z,2016-05-10T16:11:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,Wood Canyon Rd & Hwy 41,150,100,,CAL FIRE San Luis Obispo Unit,-120.39993,35.61961,,1d76ca50-aa10-4f90-bd99-a80bcf2eacce,https://www.fire.ca.gov/incidents/2016/5/10/shedd-fire/,2016-05-10T18:45:00Z,2016-05-10,2016-05-10,N,True,False
Bryson Fire,True,2016-05-12T20:45:00Z,2016-05-12T14:13:00Z,CAL FIRE San Benito-Monterey Unit,,Monterey,"Bryson-Hesperia Rd & Interlake Rd, west of Bradley ",25,100,,CAL FIRE San Benito-Monterey Unit,-121.0381507,35.8378273,,afaa2efe-d946-4ff9-93c2-459aad31b908,https://www.fire.ca.gov/incidents/2016/5/12/bryson-fire/,2016-05-12T20:45:00Z,2016-05-12,2016-05-12,N,True,False
Avocado Fire,True,2016-05-17T19:10:00Z,2016-05-15T16:38:00Z,CAL FIRE Fresno-Kings Unit,,Fresno,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",132,100,,CAL FIRE Fresno-Kings Unit,-119.38248,36.78769,,f1769b9d-c522-4a0d-92a7-f9c8321b9f1d,https://www.fire.ca.gov/incidents/2016/5/15/avocado-fire/,2016-05-17T19:10:00Z,2016-05-17,2016-05-15,N,True,False
Athens Fire,True,2016-05-19T18:00:00Z,2016-05-17T15:06:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,"Off Athens Ave & Industrial Blvd, south of Lincoln",169,100,,CAL FIRE Nevada-Yuba-Placer Unit,-121.3090268,38.8390117,,e0de216a-9544-43ad-9b9f-bc05247f0550,https://www.fire.ca.gov/incidents/2016/5/17/athens-fire/,2016-05-19T18:00:00Z,2016-05-19,2016-05-17,N,True,False
Pala Fire,True,2016-06-07T06:45:00Z,2016-05-31T13:48:00Z,CAL FIRE San Diego Unit,,San Diego,"in the 38000 block of Pala Temecula Road, Temecula",70,100,,CAL FIRE San Diego Unit,-117.08829,33.41639,,c88af25d-aff4-4b20-9c58-0b819c8ae99a,https://www.fire.ca.gov/incidents/2016/5/31/pala-fire/,2016-06-07T06:45:00Z,2016-06-07,2016-05-31,N,True,False
Chimney Fire,True,2016-06-19T18:00:00Z,2016-06-01T15:35:00Z,Bureau of Land Management,,Tulare,15 miles northeast of Kernville,0,100,,Bureau of Land Management,-118.08591,35.84883,,6afa1ccf-e1b6-492b-bcaa-9189cd3487aa,https://www.fire.ca.gov/incidents/2016/6/1/chimney-fire/,2016-06-19T18:00:00Z,2016-06-19,2016-06-01,N,False,False
Coal Fire,True,2016-06-20T19:50:00Z,2016-06-20T16:38:00Z,CAL FIRE Butte Unit,,Butte,"Off Coal Canyon Rd & Hwy 70, north of Oroville",112,100,,CAL FIRE Butte Unit,-121.6008,39.595,,5f422963-a30c-4cda-9427-7a0e028b6039,https://www.fire.ca.gov/incidents/2016/6/20/coal-fire/,2016-06-20T19:50:00Z,2016-06-20,2016-06-20,N,True,False
Frazier Fire,True,2019-07-01T13:08:35Z,2016-06-27T12:07:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,off Nacimiento Lake Dr. and Frazier Rd.,86,100,,CAL FIRE San Luis Obispo Unit,-120.82266,35.70821,,42fbaa73-e3c8-44ac-bf83-a576be6a804f,https://www.fire.ca.gov/incidents/2016/6/27/frazier-fire/,2016-06-29T17:00:00Z,2016-06-29,2016-06-27,N,True,False
Campo Fire,True,2016-06-30T07:00:00Z,2016-06-27T18:00:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,"off Campo Seco and Chili Camp Road, near Burson ",33,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.8678,38.22017,,2225d427-97d7-4d71-a83a-814f38a1c947,https://www.fire.ca.gov/incidents/2016/6/27/campo-fire/,2016-06-30T07:00:00Z,2016-06-30,2016-06-27,N,True,False
Paskenta Fire,True,2016-06-21T13:00:00Z,2016-06-21T10:26:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"off Paskenta Rd & Boggs and Chaplin Rd, 18 miles west of Corning",43,100,,CAL FIRE Tehama-Glenn Unit,-122.40142,39.93965,,b1b2a50c-c131-4be2-9398-8adee38c1c19,https://www.fire.ca.gov/incidents/2016/6/21/paskenta-fire/,2016-06-21T13:00:00Z,2016-06-21,2016-06-21,N,True,False
Moore Fire,True,2016-06-21T15:45:00Z,2016-06-21T12:24:00Z,CAL FIRE Nevada Yuba Placer Unit,,Placer,"off Moore Rd and South Dowd Rd, west of Lincoln",88,100,,CAL FIRE Nevada Yuba Placer Unit,-121.37704,38.86804,,d570e949-a098-4af0-84a4-d70c4a0e89c9,https://www.fire.ca.gov/incidents/2016/6/21/moore-fire/,2016-06-21T15:45:00Z,2016-06-21,2016-06-21,N,True,False
Aukum Fire,True,2016-06-04T15:30:00Z,2016-06-03T12:41:00Z,CAL FIRE Amador El-Dorado,,El Dorado,off Mount Aukum Road & Grizzly Flat Road,25,100,Mount Aukum Road closed from 4 corners to Tiger's Eye.,CAL FIRE Amador El-Dorado,-120.6955,38.64107,,f2b5faf1-9ff0-48b7-8151-25880262bec1,https://www.fire.ca.gov/incidents/2016/6/3/aukum-fire/,2016-06-04T15:30:00Z,2016-06-04,2016-06-03,N,True,False
Hidden Fire,True,2016-06-03T17:30:00Z,2016-06-03T17:39:00Z,CAL FIRE San Benito Monterey Unit,,San Benito,"off Hidden Valley Rd & Cienega Rd, southwest of Hollister ",30,100,,CAL FIRE San Benito Monterey Unit,-121.40304,36.80296,,a757d4f9-2aa1-44c8-b986-ac00ca2fafdd,https://www.fire.ca.gov/incidents/2016/6/3/hidden-fire/,2016-06-03T17:30:00Z,2016-06-03,2016-06-03,N,True,False
Clay Fire,True,2016-06-03T19:55:00Z,2016-06-03T16:57:00Z,CAL FIRE Amador El-Dorado,,Sacramento,off Highway 104 and Clay East Road near Herald,32,100,,CAL FIRE Amador El-Dorado,-121.06452,38.3131,,c5d590f0-97fe-4ac3-987d-ebceed6dbfc2,https://www.fire.ca.gov/incidents/2016/6/3/clay-fire/,2016-06-03T19:55:00Z,2016-06-03,2016-06-03,N,True,False
Temecula Fire,True,2016-06-07T18:15:00Z,2016-06-04T11:40:00Z,CAL FIRE Riverside County Fire,,Riverside,Off I-15 south of Temecula Parkway,139,100,,CAL FIRE Riverside County Fire,-117.140883,33.476894,,403e6185-c0e1-4b8f-a290-b50553a47b67,https://www.fire.ca.gov/incidents/2016/6/4/temecula-fire/,2016-06-07T18:15:00Z,2016-06-07,2016-06-04,N,True,False
Coleman Fire,True,2016-06-20T08:30:00Z,2016-06-04T14:33:00Z,Los Padres National Forest,,Monterey,off Mission Creek Rd and Milpitas Rd north of Fort Hunter Liggett,2520,100,,Los Padres National Forest,-121.25029,36.01542,,b8cf80c7-b617-4fe4-91b0-43b40d38c7f6,https://www.fire.ca.gov/incidents/2016/6/4/coleman-fire/,2016-06-20T08:30:00Z,2016-06-20,2016-06-04,N,True,False
Soda Fire,True,2016-06-19T08:30:00Z,2016-06-04T17:46:00Z,"Bureau of Land Management ",,San Luis Obispo,Off Soda Lake Road north of Cuyama,0,100,,"Bureau of Land Management ",-119.58206,35.01382,,5c86c26b-e6c0-4e47-90b7-bc5da3885ebe,https://www.fire.ca.gov/incidents/2016/6/4/soda-fire/,2016-06-19T08:30:00Z,2016-06-19,2016-06-04,N,False,False
Keswick Fire,True,2016-06-12T15:00:00Z,2016-06-11T16:02:00Z,CAL FIRE Shasta Trinity Unit,,Shasta,near Keswick Dam Road x Iron Mountain Road N/W of Redding,24,100,,CAL FIRE Shasta Trinity Unit,-122.46777,40.61388,,20e4887c-b772-460d-98be-d60f39171aeb,https://www.fire.ca.gov/incidents/2016/6/11/keswick-fire/,2016-06-12T15:00:00Z,2016-06-12,2016-06-11,N,True,False
Camanche Fire,True,2016-06-21T18:30:00Z,2016-06-17T14:54:00Z,CAL FIRE Amador El-Dorado Unit,,Amador,"off Camanche Parkway North & Coal Mine Road, south of Ione",210,100,,CAL FIRE Amador El-Dorado Unit,-120.90265,38.26874,,fef2ab8a-20d7-4dc3-b5c9-363aa1debef3,https://www.fire.ca.gov/incidents/2016/6/17/camanche-fire/,2016-06-21T18:30:00Z,2016-06-21,2016-06-17,N,True,False
Border Fire,True,2016-06-30T18:30:00Z,2016-06-19T11:03:00Z,CAL FIRE San Diego Unit,,San Diego,off Highway 188 and Highway 94 near Tecate,7609,100,No current road closures.,"CAL FIRE San Diego Unit, SDG&E, San Diego County Fire, Border Patrol, Cal Trans, CHP, San Diego Sheriff, BLM, California Department of Corrections and Rehabilitation, Red Cross, 2-1-1, San Diego County OES",-116.63028,32.60729,,33099cdd-ccfc-454e-b5a3-770a69a30bd3,https://www.fire.ca.gov/incidents/2016/6/19/border-fire/,2016-06-30T18:30:00Z,2016-06-30,2016-06-19,N,True,False
Arroyo Fire,True,2016-06-20T18:15:00Z,2016-06-18T16:47:00Z,CAL FIRE San Benito-Monterey Unit,,Monterey,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",70,100,,CAL FIRE San Benito-Monterey Unit,-121.3306,36.2833,,ae6a40fa-c0f3-460b-8e19-fbf4b5803bb8,https://www.fire.ca.gov/incidents/2016/6/18/arroyo-fire/,2016-06-20T18:15:00Z,2016-06-20,2016-06-18,N,True,False
Hoag Fire,True,2016-06-11T16:15:00Z,2016-06-11T14:30:00Z,CAL FIRE Tehama Glenn Unit,,Tehama,"off Corning Road and Gaylord Avenue, east of Corning",80,100,,CAL FIRE Tehama Glenn Unit,-121.857,39.7947,,10a8344d-e2c6-4585-8094-bbb30e48db8c,https://www.fire.ca.gov/incidents/2016/6/11/hoag-fire/,2016-06-11T16:15:00Z,2016-06-11,2016-06-11,N,True,False
Cotton Fire,True,2016-06-12T12:30:00Z,2016-06-11T15:04:00Z,Kern County Fire Department,,Kern,"off Highway 41, one mile east of the county line",61,100,,Kern County Fire Department,-120.251,35.77135,,bae93037-2a91-4189-b256-3325cd2b6979,https://www.fire.ca.gov/incidents/2016/6/11/cotton-fire/,2016-06-12T12:30:00Z,2016-06-12,2016-06-11,N,False,False
Old Fire,True,2016-06-12T15:45:00Z,2016-06-12T12:45:00Z,CAL FIRE San Benito Monterey Unit,,San Benito,"off Old Hernandez Road, five miles east of Pinnacles National Park",83,100,,CAL FIRE San Benito Monterey Unit,-121.04993,36.49914,,fb7d6492-444e-420c-9111-0f8999d3af04,https://www.fire.ca.gov/incidents/2016/6/12/old-fire/,2016-06-12T15:45:00Z,2016-06-12,2016-06-12,N,True,False
Pony Fire,True,2016-11-08T10:15:00Z,2016-06-07T02:45:00Z,"USFS Klamath National Forest ",,Siskiyou,15 miles SW of Happy Camp (Siskiyou County),2860,100,,"USFS Klamath National Forest ",-123.557,41.623,,103e1cb6-0a02-4ca8-8739-4cf77b5d1c98,https://www.fire.ca.gov/incidents/2016/6/7/pony-fire/,2016-11-08T10:15:00Z,2016-11-08,2016-06-07,N,False,False
Sherpa Fire,True,2016-07-12T14:30:00Z,2016-06-15T15:21:00Z,"U.S Los Padres National Forest ",,Santa Barbara,west of Goleta,7474,100,,"U.S Los Padres National Forest ",-119.643,34.776,,ffb3293b-3349-49c5-a7cb-c488391e8a72,https://www.fire.ca.gov/incidents/2016/6/15/sherpa-fire/,2016-07-12T14:30:00Z,2016-07-12,2016-06-15,N,True,False
Creek Fire,True,2016-06-27T06:15:00Z,2016-06-26T15:45:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Yolo,"off Hwy 16, 4 miles south of Brooks, near the Cache Creek Casino",277,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.15457,38.69971,,eb0fe9ad-f9f5-4bde-ad34-527ffd647669,https://www.fire.ca.gov/incidents/2016/6/26/creek-fire/,2016-06-27T06:15:00Z,2016-06-27,2016-06-26,N,True,False
70 Fire,True,2016-06-21T16:30:00Z,2016-06-21T15:09:00Z,CAL FIRE Butte County Fire,,Butte,off Highway 70 at Palermo Rd.,49,100,,CAL FIRE Butte County Fire,-121.6051,39.43351,,6b542aff-fa1b-46fc-b3da-26c1afdbc446,https://www.fire.ca.gov/incidents/2016/6/21/70-fire/,2016-06-21T16:30:00Z,2016-06-21,2016-06-21,N,True,False
Erskine Fire,True,2016-07-11T09:40:00Z,2016-06-23T15:51:00Z,Bureau of Land Management,,Kern,Off Erskine Creek Rd in Lake Isabella,48019,100,,Bureau of Land Management,-118.45628,35.6115,,91816ff6-d4ec-4f31-8d40-bf2538aca09b,https://www.fire.ca.gov/incidents/2016/6/23/erskine-fire/,2016-07-11T09:40:00Z,2016-07-11,2016-06-23,N,True,False
Lowe Fire,True,2016-06-24T18:20:00Z,2016-06-23T17:57:00Z,CAL FIRE San Benito-Monterey Unit,,Monterey,East of King City,52,100,,CAL FIRE San Benito-Monterey Unit,-120.9293,36.1934,,61556003-7789-4b9e-8f16-5563624b4621,https://www.fire.ca.gov/incidents/2016/6/23/lowe-fire/,2016-06-24T18:20:00Z,2016-06-24,2016-06-23,N,True,False
Dinosaur Fire,True,2016-06-26T18:50:00Z,2016-06-25T23:45:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Merced,"Off Hwy152 at Dinosaur Point, westside of San Luis Reservoir ",1246,100,,CAL FIRE Madera-Mariposa-Merced Unit,-121.20155,37.07147,,ec90eb29-e776-43da-a814-0c41463ae3c9,https://www.fire.ca.gov/incidents/2016/6/25/dinosaur-fire/,2016-06-26T18:50:00Z,2016-06-26,2016-06-25,N,True,False
Laguna Fire,True,2016-06-29T18:30:00Z,2016-06-26T13:10:00Z,Orange County Fire Authority,,Orange,"n Laguna Coast Wilderness Park, 2½ miles northeast of Laguna Beach",47,100,,Orange County Fire Authority,-117.77395,33.57872,,c27c5212-1891-4105-86ee-9f97016ef159,https://www.fire.ca.gov/incidents/2016/6/26/laguna-fire/,2016-06-29T18:30:00Z,2016-06-29,2016-06-26,N,True,False
Grant Fire,True,2016-06-26T07:00:00Z,2016-06-25T16:11:00Z,CAL FIRE Santa Clara Unit,,Alameda,"In the Altamont Pass, 10 miles east of Livermore",211,100,,CAL FIRE Santa Clara Unit,-121.58677,37.74369,,3822b8a2-1a89-40e8-b239-840cfcda7a1c,https://www.fire.ca.gov/incidents/2016/6/25/grant-fire/,2016-06-26T07:00:00Z,2016-06-26,2016-06-25,N,True,False
Marina Fire,True,2016-07-09T08:30:00Z,2016-06-25T06:30:00Z,Inyo National Forest,,Mono,Hwy 395 & Mono Lake,650,100,,Inyo National Forest,-119.14,37.97,,1bc85249-0d96-42d7-a23f-db99bdce17a4,https://www.fire.ca.gov/incidents/2016/6/25/marina-fire/,2016-07-09T08:30:00Z,2016-07-09,2016-06-25,N,False,False
